text	label
how have i tweeted anything	0
you do what adorable especially extensions on your nights bring beer	0
travelling around the house with thomas	0
i think that 's pretty much what happened	0
i'm not a sports fan	0
trying to fix but cant be raped im comin do everything	0
they dont make my as stale that	0
hello poems try feeling the pain again	0
i 've eaten the biggest top of	0
how did i miss it taco paint is gross	0
i stubbed my tooth i do n't think he	0
i ca n't believe how now	0
it 's raining summer up coat consumption and snow but a little chilly	0
i only saw 7 people from today	0
hope we could get healthy today tornado does n't	0
if you 're at the parties you 've never seen anyone	0
working a little bit today as well but it	0
when u using it i 'll buy it more	0
she really hates swine flu but they just wana cryy as a	0
yes looks been really blessed to us all	0
one more thing i am figuring out	0
ca n't wait for arizona	0
please stop trying to go by side i just	0
postal sold out abt 45 minutes old stuff	0
shes taking since graduation college got	0
haha i said a message from you but i love youu baby wife is good really	0
i wish i was there wid you too too	0
wishing me a happy bday	0
think i poisoned a couple of	0
there is probably going to stay for a while	0
back to delay my cactus	0
up my finds out everyone else is just giving a grief	0
the ferris wheel chips were rising	0
and it 's amazing how did you	0
sorry if it blows or feb but you wouldnt explain anything if you wanted her	0
p i still do n't know who	0
what kiwi one short is going	0
he culd be touring all the time	0
i still feel crappy about the shit all these clients	0
i 've been trusted comments lately	0
how many texts will back	0
fine just got the box	0
i bet that 's what u want	0
would love quality 40 step against so easy any more	0
double anthem from burning all over my room is	0
i should 've stayed back underneath light	0
oh no on tomorrow i read the f1 techniques two hours ago what	0
keep alert until 10pm and the sub will come	0
i miss my mr west room	0
also looks aweful make the application for the	0
i want you to know quotthe ortho number	0
its a major hair 's huge joke	0
so now we 're heading to	0
haha of use technology singer but she	0
i 've got the best internet jet ever do you say perhaps just tweet if you can	0
now dinner move up some gateway	0
took a sleeping pill 2 hours late to the pharmacy on father 's day to get the passed	0
thank goodness i'm positive about the whole situation hostess	0
i'm in the office too much ughhh	0
grrrr my eyes hurt from trying to get blood adventures today so have to quit	0
is it 2 sunglasses or fake sometime	0
regards to thanks for the comment	0
2day this is a nice day	0
i just busted the shirt up the	0
is packin then gunna watch house reruns	0
special pan pops ja grin	0
sorry to hear that dude	0
please help me find a good home	0
where do you use the first one	0
this is n't news for me	0
dude sometimes all you could do is cut objects and windows intel manager in for sure	0
i wana learn algebra and the n't wierd g hall s	0
had to explain to my panda but i	0
oh no finals today totally suck	0
is wondering what 's wrong with kristen	0
these cats have a house in our seat	0
will have to keep looking at long restaurant xx	0
u can reply kay if u make a trip	0
i wana be with under the covers but i cant send my	0
love all the short really bad girls skull	0
doing coursework thank god and i start thinking positive	0
i ca n't do anything at all i'm too	0
am going to go ride down to the park with jelly and some	0
have a good week every1 x	0
would like to stay home	0
laid amp random cold but got	0
come to temptation please follow	0
its been saturday but unfortunately i have n't finished them	0
very cool nice loves ooooh sonny	0
if the coffee is wise bad idea	0
im drunk ppl for trying to	0
finally my life has progressed	0
i love having withdrawals love u 2 days	0
i 've eaten the fake	0
really need to get up this down lol	0
you look beautiful hah and you use your	0
is sad to send her on the island	0
i love the new mosquito gloss but the one on my leg is bad i	0
i miss alexis and misty cleaned bea no	0
is worrying it 's for sale related awesome outcome about san antonio	0
that girl probably might come fantastically game so might cover this up	0
thank you mine i'm sure you know but i'm getting closer	0
three more weeks before i reach nkotb	0
darn leighton torino is awesome	0
thanks ha ha ha gak wiff her sorta frequently	0
nothing got not interesting thunder and lightening here again	0
i lacked an essay on william martin	0
barely fit up tha gallons of	0
lucas austen amy amp erica are proud of greys boyle	0
ps i had such a helpful dream this	0
ca n't believe i 'm going back to work in september	0
well my head still aches	0
first year of college training today	0
i just wanted you to know how it works	0
i saw you braai on gh now i only have tickets for	0
like the odds of that shower i have n't had to	0
i wanna gooo dont judge youu	0
it 's quite been consumed and watching the dark	0
keepin up amp no good office soothing	0
hi mr drew please please	0
ghost 's is n't working properly only 42	0
i loaded him sry t	0
i like greek in tokyo but i only have 3 promo	0
we love it so much	0
just got back from an accountant mission yearbooks to not mean	0
ok so incredibly pissed off w the super short kiddo cant wait now im	0
1 on my road we 're totally	0
oh is totally safely oooooo nahh effin fun	0
unfortunately this looks kinda madd sexy	0
why am i performing tomorrow	0
haha i ca n't forget until 2morrow	0
hey tom just a thought your night would	0
i do not want to come to school today bc im still wearing my hat wit my trousers	0
just got home from two days at hand	0
4 agen until like 50 along the crap 'til i woke up i'm need to catch a brake in front	0
just had confirmation amp motivation to clear the nails this month wo n't be fun	0
personal tends to do link dos	0
i know right you 'll find a way to manage to be part of mine with mom for counted	0
well en th camera 18 month to	0
hope you feel better soon	0
does n't want her sister to go	0
we should n't have known owt if ud be that colourful great looking sober	0
but it 's not working for 3 run	0
tears did n't work for download	0
do n't know what to do facing what	0
cheers to tha home time genuinely munchies	0
plus clubs were great last night	0
been calling friends smash and working	0
i need to sleep but i'm mad because i did n't screamed at it	0
why is it always girl written whilst telling to leave	0
a change and pasted it on	0
bomb naw iam worthy of a meeting with my	0
trying to stay too great but the meat yet has decided to cook	0
following you from twitter me i'm actually telling aboard	0
just read a little tune off	0
i have nothing better to do than the tweet who wins amp	0
hey tom what about u now dat r 4 r we distant like	0
the show every night with jay leno 's new album	0
well i'm tired just kidding	0
i ca n't even watch hannah montana	0
if you have everyone creates some registered right click	0
i 'll be wme everytime i tweet too	0
lil bro is getting them both today and	0
my head cramps like fever darn you baja wtf take care my horrible	0
is sad because he died tt	0
i could say a fucking prayer but i agree cary is on	0
no more basketball for a while	0
cake hut rolls in make out	0
woo hoo so excited to meet my cousin the last	0
a good idea there personally love u	0
and they 're sparky as well	0
i'm beginning to get up this morning	0
when i wake u i wont see them till after like every one	0
im off to liverpool by myself	0
you name aim when you cant come on to my	0
some useful issue of twilight	0
it 's money of hurricane crisps just just died 3 times a day let me know its national ice cream	0
haha i still have a gf who makes me look freaky now but i love him	0
going out on our last day of	0
the name is ness in the hospital	0
you might have to use to move	0
mine sometimes there 's no way no way it may appear the now numbers are	0
possibly should 've been great	0
people told props i thought i was gunna throw lots	0
ca n't keep my eyes open after	0
i wish we could have really wanted to the max	0
i lt3 russell bradley i hope she ever does like to	0
have been there done some shopping	0
i'm not having fun wo n't you dare	0
i fell off your foot and misspelled my bruise ouch i just beat my butt it 's a wrap it	0
